district,name,geoid,total_population,adult_population,citizen_population,cvap_total,cvap_total_24,cvap_moe,source_vintage,native_cvap,native_cvap_pct,native_vap_pct,asian_cvap,asian_cvap_pct,asian_vap_pct,black_cvap,black_cvap_pct,black_vap_pct,pacific_cvap,pacific_cvap_pct,pacific_vap_pct,white_cvap,white_cvap_pct,white_vap_pct,multiracial_cvap,multiracial_cvap_pct,multiracial_vap_pct,hispanic_cvap,hispanic_cvap_pct,hispanic_vap_pct,county_fips,county
,"Elk County, Pennsylvania",0500000US42047,30505,24724,30448,24663,24663,59,2020-2024 ACS CVAP,3,0.01,0.01,86,0.35,0.35,112,0.45,0.45,1,0.0,0.0,24011,97.36,97.36,223,0.9,0.9,229,0.93,0.93,047,Elk
,"Erie County, Pennsylvania",0500000US42049,269053,213364,263109,208692,208692,577,2020-2024 ACS CVAP,194,0.09,0.09,2240,1.07,1.07,12955,6.21,6.21,3,0.0,0.0,182299,87.35,87.35,3645,1.75,1.75,7357,3.53,3.53,049,Erie
,"Fayette County, Pennsylvania",0500000US42051,125999,101778,125197,101017,101017,192,2020-2024 ACS CVAP,35,0.03,0.03,365,0.36,0.36,3985,3.94,3.94,56,0.06,0.06,93860,92.92,92.92,1636,1.62,1.62,1068,1.06,1.06,051,Fayette
,"Forest County, Pennsylvania",0500000US42053,6714,6464,6623,6379,6379,80,2020-2024 ACS CVAP,25,0.39,0.39,3,0.05,0.05,889,13.94,13.94,3,0.05,0.05,5079,79.62,79.62,91,1.43,1.43,288,4.51,4.51,053,Forest
,"Franklin County, Pennsylvania",0500000US42055,157378,122824,154189,120017,120017,468,2020-2024 ACS CVAP,32,0.03,0.03,868,0.72,0.72,3436,2.86,2.86,0,0.0,0.0,107979,89.97,89.97,2289,1.91,1.91,5408,4.51,4.51,055,Franklin
,"Fulton County, Pennsylvania",0500000US42057,14528,11666,14495,11630,11630,43,2020-2024 ACS CVAP,5,0.04,0.04,35,0.3,0.3,167,1.44,1.44,3,0.03,0.03,11226,96.53,96.53,128,1.1,1.1,81,0.7,0.7,057,Fulton
,"Greene County, Pennsylvania",0500000US42059,34833,28244,34711,28124,28124,75,2020-2024 ACS CVAP,3,0.01,0.01,56,0.2,0.2,944,3.36,3.36,0,0.0,0.0,26049,92.62,92.62,616,2.19,2.19,449,1.6,1.6,059,Greene
,"Huntingdon County, Pennsylvania",0500000US42061,43657,35910,43480,35734,35734,79,2020-2024 ACS CVAP,29,0.08,0.08,148,0.41,0.41,1884,5.27,5.27,0,0.0,0.0,32247,90.24,90.24,776,2.17,2.17,657,1.84,1.84,061,Huntingdon
,"Indiana County, Pennsylvania",0500000US42063,83044,68098,81806,67044,67044,440,2020-2024 ACS CVAP,5,0.01,0.01,471,0.7,0.7,1632,2.43,2.43,0,0.0,0.0,63045,94.04,94.04,832,1.24,1.24,1065,1.59,1.59,063,Indiana
,"Jefferson County, Pennsylvania",0500000US42065,43863,34499,43736,34380,34380,56,2020-2024 ACS CVAP,20,0.06,0.06,10,0.03,0.03,125,0.36,0.36,0,0.0,0.0,33621,97.79,97.79,315,0.92,0.92,281,0.82,0.82,065,Jefferson
,"Juniata County, Pennsylvania",0500000US42067,23379,18219,22997,17865,17865,90,2020-2024 ACS CVAP,0,0.0,0.0,70,0.39,0.39,156,0.87,0.87,2,0.01,0.01,17184,96.19,96.19,135,0.76,0.76,328,1.84,1.84,067,Juniata
,"Lackawanna County, Pennsylvania",0500000US42069,216144,171933,208620,166089,166089,797,2020-2024 ACS CVAP,115,0.07,0.07,3291,1.98,1.98,4763,2.87,2.87,51,0.03,0.03,144724,87.14,87.14,2744,1.65,1.65,10401,6.26,6.26,069,Lackawanna
,"Lancaster County, Pennsylvania",0500000US42071,557931,428982,545823,418690,418690,1040,2020-2024 ACS CVAP,180,0.04,0.04,8688,2.08,2.08,13444,3.21,3.21,41,0.01,0.01,351565,83.97,83.97,6574,1.57,1.57,38202,9.12,9.12,071,Lancaster
,"Lawrence County, Pennsylvania",0500000US42073,85025,68024,84616,67657,67657,155,2020-2024 ACS CVAP,12,0.02,0.02,187,0.28,0.28,2186,3.23,3.23,0,0.0,0.0,62868,92.92,92.92,1319,1.95,1.95,1085,1.6,1.6,073,Lawrence
,"Lebanon County, Pennsylvania",0500000US42075,144184,111691,141896,109702,109702,395,2020-2024 ACS CVAP,30,0.03,0.03,1539,1.4,1.4,1855,1.69,1.69,6,0.01,0.01,91798,83.68,83.68,1543,1.41,1.41,12931,11.79,11.79,075,Lebanon
,"Lehigh County, Pennsylvania",0500000US42077,378794,294294,353343,271962,271962,1978,2020-2024 ACS CVAP,122,0.04,0.04,7745,2.85,2.85,14808,5.44,5.44,50,0.02,0.02,187932,69.1,69.1,4617,1.7,1.7,56680,20.84,20.84,077,Lehigh
,"Luzerne County, Pennsylvania",0500000US42079,327676,261219,310486,246300,246300,1179,2020-2024 ACS CVAP,43,0.02,0.02,2257,0.92,0.92,8950,3.63,3.63,59,0.02,0.02,207346,84.18,84.18,3829,1.55,1.55,23819,9.67,9.67,079,Luzerne
,"Lycoming County, Pennsylvania",0500000US42081,113488,90194,112639,89461,89461,248,2020-2024 ACS CVAP,65,0.07,0.07,538,0.6,0.6,3503,3.92,3.92,21,0.02,0.02,82127,91.8,91.8,1575,1.76,1.76,1629,1.82,1.82,081,Lycoming
,"McKean County, Pennsylvania",0500000US42083,39899,32178,39559,31899,31899,71,2020-2024 ACS CVAP,15,0.05,0.05,169,0.53,0.53,738,2.31,2.31,0,0.0,0.0,30042,94.18,94.18,452,1.42,1.42,474,1.49,1.49,083,Mckean
,"Mercer County, Pennsylvania",0500000US42085,109255,88566,108693,88045,88045,118,2020-2024 ACS CVAP,70,0.08,0.08,363,0.41,0.41,4412,5.01,5.01,12,0.01,0.01,80916,91.9,91.9,1224,1.39,1.39,1042,1.18,1.18,085,Mercer
,"Mifflin County, Pennsylvania",0500000US42087,46038,35613,45795,35425,35425,150,2020-2024 ACS CVAP,42,0.12,0.12,141,0.4,0.4,247,0.7,0.7,24,0.07,0.07,34105,96.27,96.27,269,0.76,0.76,610,1.72,1.72,087,Mifflin
,"Monroe County, Pennsylvania",0500000US42089,167515,135475,162588,130871,130871,735,2020-2024 ACS CVAP,187,0.14,0.14,2861,2.19,2.19,17340,13.25,13.25,105,0.08,0.08,87650,66.97,66.97,2903,2.22,2.22,19827,15.15,15.15,089,Monroe
,"Montgomery County, Pennsylvania",0500000US42091,867572,682882,827437,647404,647404,1724,2020-2024 ACS CVAP,157,0.02,0.02,38549,5.95,5.95,60407,9.33,9.33,125,0.02,0.02,506533,78.24,78.24,12821,1.98,1.98,28808,4.45,4.45,091,Montgomery
,"Montour County, Pennsylvania",0500000US42093,18103,14460,17573,14000,14000,184,2020-2024 ACS CVAP,0,0.0,0.0,338,2.41,2.41,262,1.87,1.87,0,0.0,0.0,12885,92.04,92.04,184,1.31,1.31,331,2.36,2.36,093,Montour
,"Northampton County, Pennsylvania",0500000US42095,318578,257571,308093,247919,247919,866,2020-2024 ACS CVAP,28,0.01,0.01,5909,2.38,2.38,12964,5.23,5.23,45,0.02,0.02,194874,78.6,78.6,4159,1.68,1.68,29941,12.08,12.08,095,Northampton
,"Northumberland County, Pennsylvania",0500000US42097,90562,72742,89890,72184,72184,193,2020-2024 ACS CVAP,12,0.02,0.02,134,0.19,0.19,2017,2.79,2.79,0,0.0,0.0,66741,92.46,92.46,673,0.93,0.93,2609,3.61,3.61,097,Northumberland
,"Perry County, Pennsylvania",0500000US42099,46241,36541,45769,36089,36089,181,2020-2024 ACS CVAP,21,0.06,0.06,84,0.23,0.23,305,0.85,0.85,9,0.02,0.02,34666,96.06,96.06,463,1.28,1.28,536,1.49,1.49,099,Perry
,"Philadelphia County, Pennsylvania",0500000US42101,1579706,1244903,1463677,1142301,1142301,3960,2020-2024 ACS CVAP,1517,0.13,0.13,71191,6.23,6.23,455028,39.83,39.83,218,0.02,0.02,446924,39.12,39.12,30367,2.66,2.66,137059,12.0,12.0,101,Philadelphia
,"Pike County, Pennsylvania",0500000US42103,60622,50186,59416,49109,49109,282,2020-2024 ACS CVAP,28,0.06,0.06,530,1.08,1.08,2679,5.46,5.46,2,0.0,0.0,39745,80.93,80.93,849,1.73,1.73,5282,10.76,10.76,103,Pike
,"Potter County, Pennsylvania",0500000US42105,16187,12951,16094,12864,12864,45,2020-2024 ACS CVAP,10,0.08,0.08,42,0.33,0.33,44,0.34,0.34,7,0.05,0.05,12418,96.53,96.53,168,1.31,1.31,183,1.42,1.42,105,Potter
,"Schuylkill County, Pennsylvania",0500000US42107,143559,115002,141761,113454,113454,260,2020-2024 ACS CVAP,25,0.02,0.02,398,0.35,0.35,3401,3.0,3.0,0,0.0,0.0,102324,90.19,90.19,1622,1.43,1.43,5693,5.02,5.02,107,Schuylkill
,"Snyder County, Pennsylvania",0500000US42109,39671,31552,39378,31275,31275,102,2020-2024 ACS CVAP,2,0.01,0.01,154,0.49,0.49,309,0.99,0.99,42,0.13,0.13,29771,95.19,95.19,311,0.99,0.99,683,2.18,2.18,109,Snyder
,"Somerset County, Pennsylvania",0500000US42111,72798,59572,72381,59155,59155,182,2020-2024 ACS CVAP,9,0.02,0.02,125,0.21,0.21,1753,2.96,2.96,0,0.0,0.0,56059,94.77,94.77,510,0.86,0.86,706,1.19,1.19,111,Somerset
,"Sullivan County, Pennsylvania",0500000US42113,5887,5276,5841,5226,5226,85,2020-2024 ACS CVAP,3,0.06,0.06,5,0.1,0.1,117,2.24,2.24,0,0.0,0.0,4993,95.54,95.54,41,0.78,0.78,69,1.32,1.32,113,Sullivan
,"Susquehanna County, Pennsylvania",0500000US42115,38219,31023,37896,30731,30731,81,2020-2024 ACS CVAP,1,0.0,0.0,74,0.24,0.24,74,0.24,0.24,3,0.01,0.01,29610,96.35,96.35,455,1.48,1.48,526,1.71,1.71,115,Susquehanna
,"Tioga County, Pennsylvania",0500000US42117,40942,32906,40805,32776,32776,41,2020-2024 ACS CVAP,23,0.07,0.07,107,0.33,0.33,238,0.73,0.73,0,0.0,0.0,31570,96.32,96.32,369,1.13,1.13,463,1.41,1.41,117,Tioga
,"Union County, Pennsylvania",0500000US42119,42453,35089,41325,33959,33959,205,2020-2024 ACS CVAP,69,0.2,0.2,327,0.96,0.96,2127,6.26,6.26,1,0.0,0.0,29977,88.27,88.27,283,0.83,0.83,1170,3.45,3.45,119,Union
,"Venango County, Pennsylvania",0500000US42121,49801,40333,49617,40158,40158,75,2020-2024 ACS CVAP,20,0.05,0.05,53,0.13,0.13,380,0.95,0.95,7,0.02,0.02,38800,96.62,96.62,498,1.24,1.24,398,0.99,0.99,121,Venango
,"Warren County, Pennsylvania",0500000US42123,37919,30471,37799,30360,30360,43,2020-2024 ACS CVAP,6,0.02,0.02,130,0.43,0.43,149,0.49,0.49,35,0.12,0.12,29522,97.24,97.24,252,0.83,0.83,275,0.91,0.91,123,Warren
,"Washington County, Pennsylvania",0500000US42125,210043,168973,207758,166879,166879,343,2020-2024 ACS CVAP,13,0.01,0.01,1512,0.91,0.91,4897,2.93,2.93,6,0.0,0.0,155973,93.46,93.46,2217,1.33,1.33,2254,1.35,1.35,125,Washington
,"Wayne County, Pennsylvania",0500000US42127,51262,42854,50687,42291,42291,226,2020-2024 ACS CVAP,31,0.07,0.07,279,0.66,0.66,1489,3.52,3.52,23,0.05,0.05,38276,90.51,90.51,357,0.84,0.84,1830,4.33,4.33,127,Wayne
,"Westmoreland County, Pennsylvania",0500000US42129,352498,288353,350258,286353,286353,358,2020-2024 ACS CVAP,73,0.03,0.03,1999,0.7,0.7,6342,2.21,2.21,18,0.01,0.01,270862,94.59,94.59,3625,1.27,1.27,3427,1.2,1.2,129,Westmoreland
,"Wyoming County, Pennsylvania",0500000US42131,25969,20993,25730,20775,20775,63,2020-2024 ACS CVAP,0,0.0,0.0,36,0.17,0.17,138,0.66,0.66,0,0.0,0.0,19958,96.07,96.07,341,1.64,1.64,303,1.46,1.46,131,Wyoming
,"York County, Pennsylvania",0500000US42133,462921,361630,454808,354597,354597,880,2020-2024 ACS CVAP,136,0.04,0.04,4064,1.15,1.15,18582,5.24,5.24,102,0.03,0.03,299688,84.52,84.52,6735,1.9,1.9,25295,7.13,7.13,133,York
